weeknum,dateweek,month,year,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52
0,1-Jan-89,1,1989,36.28286732,58.35572397,53.08715266,33.74715309,36.51429589,26.58572468,64.99715239,70.42429512,73.81715219,12.83858213,39.39143868,79.48000921,64.80143811,49.83715273,58.96286681,43.92715286,33.51429595,57.06715257,26.35429611,51.89000982,73.30143792,59.19143823,57.3700097,65.38858095,35.64001019,30.64143887,73.0328665,40.03001009,37.40715301,55.37143832,66.31715236,46.56572423,63.55143814,40.8185815,59.4428668,58.1042954,31.53286742,87.67572331,71.4242951,62.37286674,39.53286724,42.65858146,40.05001009,42.8714386,60.06858107,60.26429535,70.42429512,81.67572345,65.85429523,56.78143829,25.87001041,52.06858125
1,8-Jan-89,1,1989,86.44429477,83.67715197,1.890010948,64.67429526,35.20858163,19.26429627,69.87429514,74.01715219,73.31858078,48.63858133,80.6042949,77.05000926,72.15715223,40.71001008,40.96143864,45.37286712,18.28286772,68.55000945,79.48000921,59.94572393,74.37143789,61.96286674,44.03143857,37.1228673,93.01572319,38.33572441,63.98000956,19.46143913,16.15858206,61.99715246,71.5142951,22.62143905,67.48000948,77.28286641,38.44429584,55.30000975,38.42572442,91.10715181,70.26572371,64.32000955,79.63858063,33.85286737,83.24715198,72.19572366,63.31715243,64.37000955,72.8528665,80.42858062,74.51429504,48.21000991,27.0142961,68.1928666
2,15-Jan-89,1,1989,41.19286721,45.14000998,24.39001044,14.39001067,17.58858202,3.388582339,52.21143839,33.9614388,30.06858175,46.24858138,39.65572438,74.53143789,40.81715293,23.94429617,23.0685819,18.85572485,3.568582337,18.64143915,54.65715262,75.05000931,33.70858166,59.05000967,40.90572436,29.30001033,39.13858154,10.15715362,66.81715235,7.497153675,8.24572509,67.12286663,45.9428671,5.301439441,57.65715255,25.87143898,38.72858155,31.55001028,4.26572518,81.28286631,51.33858127,50.65858128,40.46286722,19.17572484,21.1757248,47.17715279,12.405725,79.15429493,23.0485819,75.85286643,42.08286719,25.12286757,21.2457248,27.39143894
3,22-Jan-89,1,1989,28.96143891,63.37429528,64.53286669,54.76572405,40.14143866,48.01429563,43.87143858,39.96143866,40.49715294,36.65715302,28.2828675,58.13858111,24.21286759,34.90715307,42.87286717,36.87143873,30.01429603,42.23001005,43.56858144,37.747153,41.51572434,44.22858143,35.24715305,39.42572439,35.30143877,45.06715284,41.47858149,30.31858174,28.56715321,41.67572434,39.83715295,45.96143853,37.06858159,39.13715297,49.29858132,41.85429577,46.30286709,44.05001,39.1057244,47.26429564,35.71143876,35.37143877,35.99858161,66.4800095,27.67715323,40.42572437,36.53286731,45.03429569,36.58429588,38.08858156,16.51715347,39.35429582
4,29-Jan-89,1,1989,51.72858126,5.480010865,22.64001048,59.39143823,48.38858133,26.67715325,62.08572388,52.92572409,54.7828669,30.63858173,39.6400101,84.81858052,65.76429524,66.56715235,64.4071524,54.24715263,46.28286709,66.80000949,62.19286674,71.38858082,56.925724,63.76572385,69.33715229,52.90715266,59.24715252,57.6400097,66.89000949,44.8542957,34.97858163,64.01572384,56.19429544,24.2271533,59.3528668,42.53286718,49.05143846,65.49572381,47.80000992,67.94286661,60.40572392,62.49858102,43.78001001,56.51572401,59.35429537,64.0328667,57.08715258,68.58858088,52.69429552,66.90858092,69.53286658,70.67572369,63.62143814,30.53429602
5,5-Feb-89,2,1989,46.5671528,60.67572391,81.78429488,33.87286737,56.06715259,36.49572446,69.30143801,55.24715261,56.675724,44.62143856,38.10429585,78.85572351,26.1400104,51.14000985,52.72715267,33.90715308,36.1042959,44.78286713,63.28286671,66.85286664,59.12286681,64.38858097,72.48000937,48.6400099,45.49715283,35.62286733,33.63715309,26.80143896,54.51572405,65.14000953,66.06858094,70.32000941,73.14000935,51.81858126,37.12143873,61.37286676,36.71001016,29.58715318,74.42572361,63.64000956,38.17572442,33.65858166,40.30286723,56.90715257,48.53143847,83.87286625,49.3742956,7.195725112,74.10429504,51.19286698,35.40858162,36.89001016
6,12-Feb-89,2,1989,51.49572412,29.83715318,21.14143908,91.88858037,43.51429573,27.64001037,69.44286658,71.40572368,72.48000937,30.42429602,44.56858142,60.46286678,57.96286683,62.94286673,73.53143792,47.90858134,70.24858084,76.30143785,40.55143865,64.46143812,74.33572361,70.51572369,55.74429545,63.98000956,64.15858098,77.22858069,76.12286643,54.26429549,47.51429564,69.81858086,71.7642951,31.23001029,74.65715217,56.08572402,58.57143825,68.53429517,84.0157234,74.10572361,78.19286638,67.96143804,50.89000985,54.32143834,77.60572354,68.30000946,71.88858081,76.174295,74.42429504,49.19286704,73.56858077,52.12143839,52.33715267,52.28143839
7,19-Feb-89,2,1989,63.01572387,49.83572417,31.44286743,47.72858135,66.58429521,34.47858164,82.64000914,74.0514379,74.08715219,49.76572416,57.60429541,78.21143781,59.14000966,61.67572389,69.40715229,39.67715296,43.49715287,64.60429525,61.74715246,76.92429499,72.80000936,82.99572342,71.55143796,32.03429599,64.69429526,50.262867,68.78286659,47.91000992,47.76572421,82.337152,74.51429504,19.3728677,74.01429505,77.76429496,26.37143897,71.39143796,31.62143885,80.65858061,71.90858081,83.89143768,74.23000933,34.15572451,70.60286655,46.31858138,67.31858091,70.03143799,73.67429505,80.24715205,77.69429496,44.63858142,50.14000987,45.74858139
8,26-Feb-89,2,1989,75.81858072,26.58572468,32.74715311,60.99715248,43.39001002,38.15858156,68.48000946,59.19286681,58.58715253,42.69286717,77.2828664,80.85286632,55.22858118,65.72858095,67.26572377,66.33715236,68.9771523,56.55143829,51.12286699,52.03429554,60.48000963,58.33715254,85.15858051,81.83429487,74.62143789,65.01572382,77.71000926,81.46143774,21.83572478,58.89000967,71.58572367,31.08572458,73.92572362,59.14143823,67.78143804,71.62286653,68.9971523,59.03143824,77.12429498,59.90572393,71.67572367,84.12286625,58.92572396,44.58572427,49.90715273,72.64000936,52.99858123,53.55143836,51.37143841,79.12000922,47.89000992,46.51429566
9,5-Mar-89,3,1989,62.01572388,2.444296652,13.24858212,41.53429577,76.53000928,27.87143893,54.49715263,61.90858103,59.82000966,64.10429527,55.37143832,76.65715213,76.06715214,44.15572428,43.14001002,31.14143886,23.30143904,63.74715242,42.12429576,34.44286736,58.65715253,53.28286694,39.49715296,35.67286733,55.05000976,42.60572432,73.5871522,22.60429619,50.80143842,42.35429575,61.42715247,17.26286774,46.9071528,64.08858098,26.98001038,61.03286677,23.80001045,89.14000899,58.89143824,59.92572393,61.97715246,30.14001031,62.7642953,17.56858202,69.21143801,37.26715301,60.81858107,78.42572352,70.37286656,32.01429599,43.24715288,49.90715273
