weeknum,dateweek,month,year,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52
0,1-Jan-89,1,1989,10.78053663,5.239362516,9.477209923,9.209053573,9.355073935,7.118085442,5.135682633,3.774816301,5.151967431,11.59531939,10.32401945,0.441318041,6.76524814,6.374955802,5.129168713,6.843958,10.97649704,8.482208731,11.70551319,8.31718944,4.978262913,5.618798322,5.474406443,7.404155067,10.64211584,9.600974392,5.858727688,8.223823262,5.954265172,6.431952596,5.506433212,8.734080283,6.123084251,9.021235563,8.198853236,5.747991057,11.12523153,4.228076527,5.090085197,5.599256564,10.10146053,7.146855253,9.744823446,12.46981307,5.430437486,7.118085442,7.61911441,4.185193224,8.740051375,7.434010532,6.504691363,7.061631474
1,8-Jan-89,1,1989,8.185282573,5.178565936,11.70551319,8.036548079,9.942412335,8.633114531,4.337727504,3.056113859,7.487207542,9.636800947,5.476034922,1.094881289,7.272248203,6.858071491,7.182681808,8.998436846,11.26148102,7.870443133,8.865987149,8.129371429,6.287560716,4.890867828,6.975864867,12.53820922,8.700425033,9.38764353,6.615427992,7.965437792,6.631169965,6.265847651,5.647568133,10.04500657,5.331100215,7.713566241,8.686854367,7.486664715,10.38535886,4.998890325,5.169337883,4.128739256,6.778818803,7.091486937,8.27702027,8.899099573,5.921152748,7.092572591,8.716167006,5.644311173,8.951753757,8.595659496,7.950781473,5.291473871
2,15-Jan-89,1,1989,9.12925806,4.513060501,13.03598123,10.41901411,12.80582274,8.812790142,7.047517981,4.265531564,9.961411265,10.32619076,10.62908801,0.538484004,6.197451496,6.293531809,7.267905587,7.947524513,13.82905092,8.125028817,7.893241852,6.16813886,8.955553542,6.992692492,5.090085196,10.92004308,9.705197101,11.46232686,5.358241546,9.970639319,6.542146399,5.797931107,8.94632549,10.69477003,6.90801154,10.83481929,9.436497925,5.971635624,11.23976795,5.218192278,6.881955862,7.656569446,11.50249603,7.309160411,9.224795546,10.24802372,7.576231106,5.801730892,12.32704967,4.141767095,7.489378848,6.50034875,8.999522498,7.311874541
3,22-Jan-89,1,1989,12.74556899,8.40567018,9.438126406,8.239022406,12.40250257,7.930154062,6.42815281,3.22439011,9.371901559,10.48469613,11.70062775,0.635107143,9.37353004,7.871528787,8.76013596,6.415124971,11.61106136,10.40815757,11.79670806,9.113516089,9.005493591,6.686538279,5.125911753,7.986608029,12.98169857,10.7593664,6.517719201,7.357471979,6.762534006,7.382984831,9.01689295,8.684140233,7.665797499,12.68205828,7.130027627,8.168997773,9.61563071,8.596745148,8.482208732,5.817472864,13.47621362,6.19853715,11.07040605,8.96369594,6.923210685,8.780763372,13.16300266,5.899439684,10.42172824,5.434237272,8.703139165,7.229364897
4,29-Jan-89,1,1989,11.26582363,6.254448291,11.03349384,11.61974658,10.61985995,7.000292065,7.688596217,5.092799329,11.72831191,11.41727225,11.15617265,2.391694081,4.996176192,8.073460289,7.287990172,8.947953969,11.12740284,7.141426984,9.174312671,5.693708396,10.42878498,7.619657236,5.240990996,8.51477833,10.05966289,10.1150312,8.943611358,10.03523569,7.026347743,6.54377488,8.196139104,9.713882328,7.991493471,13.60866331,8.247707632,7.504577993,9.726910169,6.919410898,9.1422859,6.837444079,11.61974658,8.890957175,9.360502201,12.69345764,6.47157894,5.019517737,12.91221676,7.067602566,8.58534579,5.350099146,9.498922986,7.23099338
5,5-Feb-89,2,1989,8.467009587,4.780131198,8.005606963,8.622257999,8.639085624,10.04880635,4.601541241,4.01420284,6.771219232,10.88150239,8.694453938,0.499943317,8.060975275,6.608371247,6.397754519,9.032092094,9.45658251,7.232621857,7.151740692,6.972607907,6.670253481,5.446179458,5.278988857,11.16974332,8.126657298,8.611944295,9.457125337,9.844160718,7.241849909,6.207765202,5.322414989,8.624429305,5.61771267,10.19211258,7.835159404,5.775675215,8.370929274,8.449639135,6.083457907,4.655823902,10.67631392,8.685225885,8.190710838,8.699882205,8.475694814,5.399496368,8.930040691,8.565261205,6.072601376,7.713023414,10.03306438,7.340101527
6,12-Feb-89,2,1989,11.73862561,7.521948445,12.62994692,6.179538218,10.62474539,9.718767768,4.716620483,4.571685776,7.790647621,13.12229066,11.6832573,0.715445479,7.046432327,6.728335929,6.04763135,6.973693561,6.931895911,6.808131442,10.32076249,5.97706389,7.269534067,5.462464256,6.352157083,6.582315568,7.868814653,7.451380985,7.081716058,5.332185868,7.261934494,5.511861478,6.227849787,9.421298781,4.889239348,9.788792401,6.178452565,5.709993194,5.671452504,5.871212699,5.382125917,4.742133334,13.65480358,6.933524392,7.270076894,7.886185104,5.636168774,5.935809067,10.61443169,7.162054397,6.970436601,6.928096124,8.374186235,5.82778657
7,19-Feb-89,2,1989,10.36093166,7.443781413,13.72537104,8.408927138,11.98941151,8.2368511,6.157825154,3.668965111,7.355300673,10.47709655,9.684569692,1.513400609,7.337387395,5.916267308,5.648653786,8.06368941,11.07474866,7.146312425,8.796505344,5.968378665,7.336844568,6.01886154,6.081286601,10.55689207,9.380043957,9.538549331,5.719221247,6.647454763,8.99572271,5.400039195,7.302646492,12.19568563,6.68165284,8.087030954,8.711824391,6.313616392,10.80062122,5.58080046,7.413925947,5.799559586,7.640284648,7.74613584,7.125142187,12.01818132,6.748420515,5.450522071,7.523034098,4.328499451,7.424782479,8.25150742,7.215794232,6.787504033
8,26-Feb-89,2,1989,8.075088768,8.113629459,12.54146618,9.197111388,13.19285812,8.291133763,4.364326008,1.886865324,6.411325184,12.44321456,7.844387457,2.170220819,7.109943043,4.964149421,6.543774879,4.893581961,11.19091356,9.379501132,11.61160419,5.965121705,6.435752382,4.41372323,4.667223261,6.313616393,8.581546003,8.908870453,8.388842554,5.120483487,9.625944417,4.855041271,5.598713738,10.96509768,4.655823902,9.598260259,6.339129246,6.022661326,11.39990181,8.767192706,5.571572406,4.747018774,8.343787943,5.504804731,9.17431267,13.54460977,7.652226833,4.809443837,9.566233488,7.765677596,9.174855496,4.474519812,9.196025734,7.316759984
9,5-Mar-89,3,1989,11.29730757,9.634086813,14.5260403,11.74351105,10.84350452,10.28113614,7.55940348,3.74278953,7.210365966,9.114058918,11.38850245,1.157849176,4.720963096,8.977809434,10.14325818,10.70671221,15.88690663,9.247051437,14.13574796,9.600974392,7.498064074,6.403182785,8.77967772,10.20079781,11.43301423,11.27830864,5.816930038,12.10503358,9.179198109,8.290048109,6.950894843,13.75142671,9.28179234,10.60303233,7.994207604,8.820932542,12.24454002,4.606969507,8.338359678,7.139798505,10.4678685,10.0640055,9.787163922,13.16354549,10.28276462,9.074432572,9.105916516,3.828556136,9.137943286,10.71702592,10.1394584,6.92592482
10,12-Mar-89,3,1989,13.90504665,7.164225703,13.74436997,13.29762366,12.41498758,8.607058854,9.868045087,7.26899124,14.15203276,13.09297803,12.07517812,0.784384463,6.637683883,12.07843508,13.58857873,8.259649818,16.045412,10.78976469,15.2990254,5.737677352,13.12283349,8.785105985,8.53540574,5.032545575,13.51149734,17.4057355,6.934610044,10.19916933,10.306649,7.811817858,11.75816737,12.99418358,11.47155492,13.01209686,7.378642216,11.64797357,17.00458663,3.800329152,12.61040516,8.095173354,13.30685171,9.39090049,10.35061795,15.94933169,12.07409246,5.96892149,13.98212803,4.82952842,10.92764265,5.262161234,10.57426252,7.232079029
