weeknum,dateweek,month,year,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52
0,1-Jan-89,1,1989,3.846114506,0.039970551,2.651765633,2.716071104,2.245813396,0.937184501,0.585067102,0.705983364,0.886621657,6.113110307,3.174232137,1.021729241,0.473092454,0.895748596,1.001774772,0.754829983,2.281289576,1.801013187,4.906999135,0.288546545,0.827233046,0.579964809,0.610980775,0.301677519,4.055035282,1.928462819,0.471977819,1.243217432,1.440883549,0.441705435,0.761311632,2.191986965,0.662984971,2.074659296,0.247567018,0.927081607,3.457813599,0.511436878,0.725186789,0.653169453,2.752972438,0.631051025,2.685767706,5.363731165,0.872629801,0.245371173,1.265204712,0.432931201,1.626793633,0.578616622,0.768087319,4.97094894
1,8-Jan-89,1,1989,1.809791149,0.053163494,3.886402721,1.713726468,2.858296461,0.481807094,0.815387717,0.797405606,1.435358128,5.705807928,1.409769457,1.354208597,0.452809402,1.128634616,1.409084793,0.818434019,2.072263478,1.54683947,1.805697604,0.709617705,1.291027172,0.845388784,0.807944374,0.185530403,1.602453316,1.798854173,0.419600247,1.25397231,1.559623167,0.726855798,1.0703309,1.685257074,0.881776206,1.442545336,-0.010642872,1.235520039,2.453854584,0.51244898,1.054925813,0.865520357,1.471178861,0.506764741,1.806025018,2.092579526,0.761067988,0.526423238,1.618904858,0.528877668,1.597103958,0.630228307,0.657312023,4.176213121
2,15-Jan-89,1,1989,3.228947148,-0.079374384,4.989920409,3.391648333,4.327913323,1.195330544,1.303355946,1.386394471,2.394725864,4.964543238,3.692950063,1.159874726,0.847482809,1.462541361,1.745835904,1.416393446,2.933654683,2.265910461,2.74410978,0.797062681,2.143221864,1.162926103,0.939716518,0.828405534,3.329246505,2.592402553,0.75441318,2.131382416,2.024500271,0.787051004,1.857566283,2.743196912,1.135528754,3.350473572,0.797757145,1.431783712,3.247991825,0.900885644,1.512497125,1.421682114,3.62117077,1.295959926,2.903349,3.297201849,1.241186128,0.494289391,2.921443263,0.617442742,1.902168134,0.982005493,1.135110872,6.087914232
3,22-Jan-89,1,1989,4.525756063,-0.120992701,3.322457708,2.53909198,3.957126441,1.189757732,1.262444895,1.259772344,2.212224978,5.559968131,4.151040094,1.673720546,0.752769633,1.791888644,1.894200958,1.39716317,2.673390454,2.698854315,4.845594928,0.950979002,2.091391152,1.190264206,1.191257702,0.906678958,4.841594089,2.355203744,0.606939194,1.577683028,2.250671505,1.080835501,1.889884864,2.66350893,1.380843366,3.886722362,0.645793704,1.696368646,2.968166011,1.658351422,1.748800918,1.221977019,4.319610623,1.202760048,3.314147354,2.851330066,1.194198978,0.885559807,2.860308931,0.917263131,2.474478257,1.047464882,1.286737184,6.330768527
4,29-Jan-89,1,1989,4.366839946,-0.116106316,4.599476353,3.071007722,3.85653347,1.441842243,1.74012208,1.568041041,2.538725837,7.45747912,4.716953567,2.049809162,0.666377751,1.70647206,1.87141885,1.297138367,2.277509941,1.946594265,4.253643144,0.945028714,2.258842028,1.648379271,1.185008235,0.274061059,3.859722917,2.210703483,-0.085263428,1.531453821,2.568407862,1.294439291,1.839644637,3.351311262,1.741967768,4.656489114,-0.013205797,1.614360918,2.774967266,1.07752312,1.984664662,1.67230248,5.028899552,0.679290178,2.921447233,4.673502042,1.375633917,0.821215303,3.052083324,0.468979149,1.970528968,0.749145661,0.542745276,6.675103209
5,5-Feb-89,2,1989,2.558854138,0.238239241,3.173933322,2.327838853,2.699634719,0.514250795,0.769510356,1.184758721,1.48809252,6.725790356,2.764102292,1.105416559,0.452994913,0.753341123,0.808308849,0.709128044,1.133125073,1.538819167,2.405982357,0.570687517,1.426908762,0.770258839,0.73070944,0.10578163,2.241266186,1.24971789,0.38547909,0.929496381,1.64313345,0.636928045,1.14847327,2.274581957,0.806109707,2.416805508,0.139841643,0.831884059,2.042509163,1.267953098,0.933119847,0.832861856,3.448969187,0.625448924,1.922670249,2.752274902,0.622171726,0.341826194,1.853063719,1.094658937,1.05181619,0.477725244,0.093381577,7.13418613
6,12-Feb-89,2,1989,5.26686358,0.521735874,6.58385804,1.529888616,4.426003559,1.257342329,1.17578505,1.271744198,1.758846135,7.758060428,5.013180257,1.655446391,0.781345284,1.422000264,1.629140972,1.17360052,1.741939381,1.881863577,5.531343186,0.743238785,1.67003298,1.118489568,1.046395363,0.555217739,3.390398793,1.99061213,0.620417105,1.137827165,2.599667958,0.883251454,1.648237344,3.747419173,1.131407423,3.457977784,0.189628729,1.405620499,1.386422911,1.266420767,1.369131753,1.161700417,4.752290421,0.83852588,1.669994391,3.770366494,1.328892721,0.763274476,1.960566595,0.950408756,1.635015144,0.86131929,1.030601575,5.034557816
7,19-Feb-89,2,1989,3.47879333,0.541002684,8.434067826,2.773433203,5.764226999,1.960445333,1.256139806,1.080168956,1.812744799,5.746991478,2.87055557,2.155602851,1.648866841,1.1313825,1.240675256,0.8524616,2.702996546,1.786496963,3.179304717,0.73743925,1.852199235,1.128143911,0.850233202,0.514068263,3.338527171,1.875497874,1.392664734,1.186347964,4.486730692,0.863763181,1.65891469,5.53402758,1.205633263,1.609370486,0.402902631,1.136549895,3.619363269,1.237252594,1.586849525,1.18485632,2.136300612,1.018760756,2.089776266,5.320451698,2.397734802,0.678589969,1.557719998,0.775136259,1.529590161,0.967163889,2.178565235,6.031818271
8,26-Feb-89,2,1989,3.405533301,0.456702758,7.988951852,3.232643432,6.167329045,1.844612472,1.178636838,0.947997212,1.708365098,6.983527197,2.793361776,2.010449269,1.12973878,1.236874841,1.793515568,0.89976203,2.590752177,3.425168892,5.807742988,0.976251517,1.658404715,1.207153964,0.82208293,0.403938124,3.422525092,2.311886833,0.309326853,1.013641175,5.127756835,0.990490089,1.742497106,5.383155546,1.040300404,3.019203395,-0.033288662,1.543878744,3.447503842,2.104460613,1.384590106,1.491722766,2.602052018,0.607172406,3.663011545,6.528062994,2.418421048,0.63555214,2.372425671,1.140165877,2.794218601,0.632783504,1.716827784,6.990887039
9,5-Mar-89,3,1989,5.57287908,0.440211509,10.63848748,4.22349751,6.150528448,3.287226668,2.08189863,1.341278939,2.091230602,4.961219742,5.749944672,2.159475319,1.790046814,2.968458054,2.662382872,2.118758354,5.238888629,3.276845894,5.847857925,1.409712203,2.129860595,1.916837475,2.143865536,1.485484798,5.081580364,3.641670333,1.916228478,3.729198588,5.931084271,1.672313971,1.999328087,7.852632145,2.105786478,2.999716066,1.284623009,2.362777354,4.5929764,1.218199414,1.969291184,1.97696057,4.545386789,2.399665363,4.13880752,6.586454192,4.230294809,0.985022438,2.407881747,0.91535527,3.123044707,1.717789201,3.558223493,6.780486216
10,12-Mar-89,3,1989,9.406015801,1.338774106,11.30075408,7.684182887,7.269843069,2.870171402,3.61149327,3.401591785,6.019994366,9.54171936,8.568106805,1.997242617,1.705343029,3.476108681,4.815629683,2.516298957,6.899901557,4.782987055,10.67174709,1.760052892,5.446252456,3.058154463,1.936760705,1.16537093,9.346773282,7.428597865,2.002724561,3.412367407,6.504501815,2.693341752,4.576053753,8.64728071,3.842528773,6.896730571,1.305571013,4.401091698,9.084270808,0.976288322,4.4947267,3.232329497,8.006247617,2.152854404,5.319202531,11.0982226,4.796446238,1.769477923,6.556803909,1.206198829,5.052823768,1.5963918,3.957484756,6.358676429
11,19-Mar-89,3,1989,5.787920459,0.774110353,12.07090875,6.753080562,7.61117478,3.133160046,2.245896951,1.924227986,3.146766076,10.16668611,5.083178951,2.011838932,1.792899548,4.540999391,4.569906123,4.830033187,6.236029463,5.157422165,6.349777751,1.709925377,3.137870927,1.898464148,3.308073384,1.992156177,5.634101099,5.91966357,2.087541021,5.00796517,6.908881764,2.087702165,3.085188364,7.805903232,2.842355118,3.544464881,2.039307417,3.897899483,7.203186347,2.866663291,3.022635219,1.894358688,4.289095547,3.980018016,5.141681449,8.70623522,4.491379971,1.512251542,3.051100385,2.106997607,3.082834321,3.010234339,4.564328003,8.293629143
