weeknum,dateweek,month,year,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52
0,1-Jan-89,1,1989,8.40034185,21.20034207,28.60034212,13.3003419,3.700341749,1.600341686,2.800341767,13.50034199,22.30034209,0.0003416,16.20034193,4.700341764,27.1003422,10.40034188,17.00034201,17.60034196,0.300341636,19.60034205,11.20034189,4.100341786,20.00034208,0.900341676,7.5003419,9.7003419,7.600341869,13.7003419,9.200341924,7.700341808,2.800341673,2.100341724,9.900341841,1.100341647,8.800341888,12.10034187,11.50034186,18.00034196,0.200341634,45.20034249,11.60034199,1.20034168,15.90034196,1.800341721,16.30034197,0.0003416,6.200341848,3.800341812,12.90034189,63.50034276,21.70034214,1.400341715,0.0003416,0.0003416
1,8-Jan-89,1,1989,50.80034257,22.00034212,0.0003416,28.80034225,0.0003416,7.700341777,11.5003419,11.40034193,14.80034195,0.0003416,19.40034211,83.80034304,61.00034273,1.200341712,8.700341855,0.400341669,0.0003416,81.300343,56.90034267,9.100341893,20.80034207,3.000341738,13.10034195,4.000341754,118.9003436,2.100341662,4.600341824,0.0003416,0.0003416,2.700341734,15.50034192,0.60034164,15.60034193,17.20034208,1.000341709,19.60034208,8.000341781,153.5003441,24.10034212,7.300341802,32.2003423,1.200341712,114.0003435,28.90034222,4.900341797,5.800341812,13.00034195,152.9003441,34.80034231,2.000341692,2.900341674,0.0003416
2,15-Jan-89,1,1989,5.900341812,1.400341715,0.0003416,0.0003416,0.0003416,0.0003416,9.900341872,15.70034189,15.30034186,32.90034218,3.20034171,16.80034201,9.500341865,0.0003416,0.100341633,0.0003416,0.0003416,3.400341682,50.00034244,14.30034203,14.60034185,6.800341763,0.200341634,0.0003416,0.50034167,0.0003416,0.0003416,0.0003416,0.0003416,7.800341779,12.10034184,0.0003416,6.200341786,1.900341691,1.200341681,2.000341692,0.0003416,52.4003426,9.10034183,10.70034183,1.90034169,0.0003416,1.300341682,23.30034204,0.0003416,12.300342,10.00034178,93.20034322,10.20034185,0.0003416,0.0003416,0.0003416
3,22-Jan-89,1,1989,2.700341765,3.800341813,12.70034191,43.7003424,2.400341698,14.00034193,10.90034186,2.000341692,1.30034165,27.00034203,2.000341692,4.600341856,16.5003419,5.400341804,15.40034192,16.70034192,19.20034195,7.400341804,0.100341633,7.90034178,2.300341697,9.000341828,4.000341722,0.800341643,2.100341694,16.70034197,22.40034199,16.2003419,0.0003416,6.400341758,3.700341749,5.900341781,7.100341799,0.0003416,0.400341669,10.30034188,35.10034228,7.400341773,3.600341716,11.50034183,3.200341679,0.0003416,6.000341783,41.60034241,0.100341633,4.600341731,0.100341633,15.40034196,8.100341845,3.500341777,0.0003416,0.0003416
4,29-Jan-89,1,1989,15.50034196,0.0003416,0.0003416,53.80034256,19.00034197,11.5003419,8.50034182,9.700341838,13.70034189,0.0003416,4.600341762,19.80034202,3.300341774,6.700341824,6.800341826,8.000341875,1.400341683,61.10034267,8.000341875,9.500341835,15.70034192,8.800341856,4.300341788,5.200341772,23.00034207,10.0003419,10.00034197,6.500341791,0.200341634,7.400341836,14.40034194,0.700341642,5.400341805,1.300341682,0.800341675,7.300341802,0.600341735,35.90034229,4.600341762,9.000341828,0.0003416,4.600341824,20.70034206,15.30034202,29.30034216,4.100341818,12.80034188,46.10034241,38.90034237,2.400341823,10.00034191,0.0003416
5,5-Feb-89,2,1989,22.30034203,14.40034197,0.0003416,0.100341633,10.40034185,5.100341801,3.000341707,1.300341714,4.100341754,0.300341636,13.9003419,45.30034247,0.0003416,6.800341795,4.600341763,0.900341645,0.300341667,0.100341633,8.900341826,2.600341701,1.700341718,1.400341715,4.40034179,0.500341733,27.60034211,3.200341741,4.800341765,0.50034167,5.000341768,3.500341778,1.500341685,9.500341804,1.600341717,14.20034191,0.300341636,2.000341724,0.0003416,2.300341665,0.600341735,0.500341639,9.300341832,0.0003416,12.50034188,0.300341636,4.000341754,3.60034181,11.30034186,0.0003416,1.700341687,1.700341719,1.800341658,0.0003416
6,12-Feb-89,2,1989,6.800341795,0.100341633,0.0003416,131.2003438,0.0003416,1.500341685,18.10034197,17.80034202,19.60034201,0.0003416,5.600341746,18.300342,20.400342,10.60034182,4.500341792,6.000341752,4.900341766,182.8003445,1.200341712,17.80034199,24.80034216,16.60034194,2.600341733,6.300341849,13.40034202,15.20034195,14.400342,5.000341768,0.0003416,15.50034199,20.70034204,0.0003416,10.90034192,39.80034229,0.200341666,16.00034199,65.40034279,73.90034286,17.30034201,20.30034199,5.300341741,8.400341881,80.40034299,43.10034246,2.200341695,10.70034188,21.2003421,46.60034242,85.50034303,5.400341805,1.500341685,0.0003416
7,19-Feb-89,2,1989,20.90034204,21.40034205,0.0003416,17.00034191,0.0003416,1.500341716,33.50034225,37.50034238,32.40034228,4.60034173,36.5003423,31.70034226,33.00034225,6.900341796,9.300341832,2.300341697,2.200341726,44.40034239,32.30034215,32.3003423,30.50034224,41.00034237,6.800341795,0.0003416,38.50034229,4.900341766,4.400341853,7.700341777,0.0003416,32.70034228,41.40034231,0.200341634,33.20034222,50.60034254,0.0003416,18.90034203,11.30034183,39.40034241,20.30034203,36.70034227,70.50034284,0.800341675,70.50034281,0.0003416,3.90034172,23.60034202,36.40034233,32.80034231,29.50034223,0.100341633,1.300341714,0.0003416
8,26-Feb-89,2,1989,50.30034254,0.400341637,0.200341634,29.40034219,7.700341777,9.200341925,2.800341767,6.800341826,11.40034193,36.6003423,30.80034224,88.70034311,24.20034209,16.200342,14.30034193,13.6003419,0.100341633,1.800341658,28.70034218,0.300341699,11.00034192,4.900341767,9.400341928,36.80034236,65.40034276,17.30034198,35.50034232,3.600341873,0.100341633,3.500341745,4.200341787,1.500341685,3.300341774,60.50034265,4.900341797,6.600341824,13.40034189,37.70034232,5.000341768,4.600341731,35.50034232,13.20034198,35.70034223,10.00034184,14.1003419,4.400341791,9.300341894,23.30034207,8.200341816,26.10034218,3.700341779,0.0003416
9,5-Mar-89,3,1989,31.80034217,0.0003416,0.0003416,32.70034215,0.100341633,0.100341633,3.80034175,25.00034206,29.30034216,10.80034189,11.90034184,7.000341861,38.6003424,0.200341634,18.50034197,0.0003416,0.100341633,53.60034246,2.300341665,3.400341682,26.90034213,1.900341691,0.100341633,1.000341646,18.80034195,22.90034201,4.600341825,0.0003416,0.0003416,2.200341664,19.70034199,0.0003416,4.700341764,26.50034215,0.0003416,15.50034192,12.80034185,104.5003434,25.30034207,4.400341791,15.60034199,0.200341634,63.60034261,0.200341634,0.200341634,9.400341802,47.80034243,61.70034274,59.40034258,0.100341633,0.0003416,0.0003416
