weeknum,dateweek,month,year,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52
0,1-Jan-89,1,1989,0.007444287,0.001585858,0.004486858,0.005422144,0.004530858,0.00197243,0.002074001,0.003458287,0.003254144,0.010422144,0.006270858,0.014093287,0.002264572,0.00270343,0.003149715,0.002462572,0.00375743,0.004244001,0.010269858,0.001493715,0.003085715,0.00190243,0.002373715,0.001664572,0.007900287,0.00366543,0.002407001,0.00279243,0.002716287,0.001601858,0.002730715,0.002842287,0.002044287,0.00459343,0.001442001,0.002951858,0.004910287,0.004273001,0.00257043,0.002313715,0.005596001,0.002036572,0.005376001,0.007415572,0.002827572,0.001481144,0.003500144,0.003413715,0.004039572,0.002000572,0.002200287,0.013399572
1,8-Jan-89,1,1989,0.007803858,0.001952287,0.002556144,0.004055001,0.003801858,0.001275572,0.002598001,0.003858144,0.003755287,0.012591001,0.006898858,0.013509287,0.001980287,0.002413715,0.002754715,0.001943001,0.002257001,0.00398843,0.008610001,0.002243715,0.003375858,0.002510715,0.00228343,0.00111443,0.007559715,0.002675144,0.001902572,0.001739572,0.001593572,0.002392001,0.003180144,0.001802001,0.002375715,0.005784572,0.000964715,0.002793715,0.003224001,0.004036572,0.002829001,0.002839715,0.006905572,0.00145443,0.005494144,0.005434144,0.00230343,0.002096001,0.004374858,0.003215715,0.00422543,0.001751144,0.001633287,0.012962001
2,15-Jan-89,1,1989,0.005138715,0.000587001,0.002980572,0.003886572,0.004258858,0.001604287,0.00305043,0.003864144,0.003425858,0.010953287,0.004303572,0.013687572,0.002362858,0.002900287,0.003097715,0.00256543,0.002510001,0.003456001,0.00647743,0.002984001,0.003297287,0.003048287,0.002797144,0.001918001,0.005003001,0.003078144,0.002741287,0.002174572,0.002263287,0.002922858,0.003353572,0.001713572,0.002815715,0.003731144,0.002330858,0.002999715,0.003442572,0.004781144,0.002933001,0.003502572,0.004326858,0.00235543,0.004013858,0.005958858,0.002241001,0.002714287,0.003270858,0.003924858,0.003277715,0.002431287,0.002035715,0.012420001
3,22-Jan-89,1,1989,0.00512843,0.000663858,0.004750287,0.005772001,0.004781572,0.00184943,0.002481715,0.003660572,0.003290144,0.009857858,0.003960144,0.01343243,0.001883572,0.003482715,0.00406843,0.003086858,0.003234001,0.004323001,0.008614572,0.002077858,0.003133572,0.002416001,0.003068715,0.002224287,0.006084001,0.004279144,0.002068715,0.002926144,0.00217943,0.002252858,0.003016572,0.003049144,0.002506287,0.003647287,0.001978715,0.003737144,0.004910572,0.003089715,0.00264943,0.002893001,0.004016144,0.002349287,0.004458715,0.00782743,0.002342572,0.002197715,0.00317143,0.002804001,0.003652572,0.002835287,0.001788572,0.013146287
4,29-Jan-89,1,1989,0.008525715,0.000406287,0.004418858,0.005654144,0.005219572,0.002230144,0.003591715,0.004380287,0.004838001,0.011950858,0.007860715,0.013276572,0.002125572,0.003410001,0.004210572,0.002432858,0.002560001,0.005807858,0.01032643,0.002682572,0.004608001,0.003408144,0.003155572,0.001448572,0.008469001,0.003522858,0.001512858,0.002118572,0.002792144,0.003061715,0.004169715,0.003034715,0.00367843,0.00672443,0.001229144,0.003874715,0.003509858,0.003177715,0.003996001,0.003873858,0.007800144,0.001503001,0.006783144,0.007282001,0.002919001,0.002772572,0.005398144,0.002319287,0.005347001,0.00244443,0.001561001,0.012037715
5,5-Feb-89,2,1989,0.003269572,0.001918287,0.004178715,0.001843715,0.003775144,0.001613858,0.002005858,0.002430572,0.002133287,0.01009143,0.004247715,0.013203715,0.001529858,0.001275001,0.001593001,0.001311001,0.001419858,0.001819001,0.003509144,0.001598001,0.001954715,0.001871858,0.001598144,0.001013572,0.00264643,0.001468144,0.00114543,0.001398715,0.002291001,0.001719144,0.001880287,0.00334343,0.00182143,0.003952001,0.001080715,0.001649287,0.00152143,0.001899572,0.001946144,0.001957144,0.004993858,0.001285572,0.002326287,0.002749144,0.001820858,0.001552858,0.002464715,0.001483144,0.002214715,0.001216287,0.001135858,0.01230943
6,12-Feb-89,2,1989,0.008348144,0.001708572,0.00363943,0.005691858,0.004629715,0.001770144,0.002663287,0.003772715,0.003962001,0.010337715,0.006406287,0.014221572,0.002214715,0.00235043,0.00273843,0.002009287,0.002787715,0.004228287,0.010336858,0.002164715,0.003686572,0.002515287,0.002205144,0.001401287,0.008601144,0.002911287,0.001714001,0.002328287,0.002492001,0.002306572,0.00328243,0.002972287,0.002498287,0.00572143,0.001063287,0.002719858,0.004083858,0.004047144,0.002806715,0.002828144,0.006353715,0.001723715,0.006303572,0.009437715,0.002856858,0.002052144,0.004428858,0.002590144,0.003638144,0.001721144,0.001951287,0.011532144
7,19-Feb-89,2,1989,0.004901572,0.002124001,0.003281287,0.003549572,0.006961001,0.002434287,0.003236715,0.003699572,0.003670858,0.008915144,0.00418243,0.013110144,0.003233144,0.002244715,0.002473287,0.00173543,0.002657715,0.003353144,0.005822001,0.002473001,0.003607144,0.00329443,0.002109001,0.001240144,0.004951715,0.002582858,0.003109287,0.002093858,0.002936715,0.002668572,0.003683001,0.002688287,0.002976001,0.004642858,0.001437287,0.00244143,0.003701858,0.004878001,0.003006144,0.003526287,0.004769287,0.001760572,0.003880287,0.005625144,0.003990144,0.00224243,0.003377001,0.00353343,0.00349843,0.001559572,0.00334743,0.013163715
8,26-Feb-89,2,1989,0.007420858,0.001138001,0.003699287,0.005511858,0.006134572,0.002344287,0.002438715,0.003385144,0.003117572,0.010463715,0.006391715,0.014129572,0.00218043,0.002487144,0.003019001,0.001920858,0.003210858,0.00380143,0.009396858,0.001732715,0.002942572,0.002170715,0.00228743,0.001272001,0.007515144,0.003523858,0.00156343,0.002296001,0.002604572,0.001986001,0.002872144,0.002517144,0.002177144,0.004291858,0.00086243,0.002702858,0.005130715,0.003417001,0.002555858,0.002562001,0.005833144,0.001351144,0.004960001,0.00860543,0.003349715,0.001661287,0.003319001,0.002555858,0.00337343,0.001750144,0.00251943,0.012701144
9,5-Mar-89,3,1989,0.006261144,0.000765287,0.003286287,0.003609287,0.007990287,0.002914287,0.00216343,0.003341858,0.003187144,0.00957743,0.005889858,0.013403001,0.004028001,0.002634287,0.002958287,0.002289715,0.002829572,0.004200144,0.005101572,0.001646858,0.003018001,0.002104858,0.002213001,0.002027858,0.005305858,0.002862144,0.003835858,0.003168001,0.003263715,0.001839858,0.002909287,0.002767715,0.00214143,0.005139144,0.00220343,0.002865144,0.003264144,0.005249858,0.002553144,0.002444715,0.005968144,0.002880144,0.005644001,0.003585001,0.004607001,0.00167343,0.003361858,0.003810715,0.004086572,0.002008572,0.00375243,0.01264643
