weeknum,dateweek,month,year,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52
0,1-Jan-89,1,1989,7.912887181,-13.35831667,6.291464073,4.088673657,3.027990446,-9.792488618,-6.396022469,-0.303879335,-1.815108639,13.58488251,5.530963981,23.63477452,-12.62658639,-7.131009709,-3.961445087,-8.250318196,-0.926501466,0.494075793,11.96508788,-14.76858022,-2.614149421,-7.191263464,-8.070099759,-13.8463178,8.899745972,-2.159260715,-9.42282369,-4.135149605,-1.703829183,-10.59532918,-4.043954733,-1.305394445,-7.779687518,1.952650916,-16.60170571,-5.110609037,4.067503419,-0.467812974,-5.56929753,-5.696861785,4.480594475,-10.85697162,3.106157479,11.69041762,-6.911707756,-14.7680374,-1.127347315,-4.867965539,-0.444471429,-11.50239246,-9.888026101,18.65705443
1,8-Jan-89,1,1989,8.689129244,-11.90191285,1.31482964,1.068929182,2.303859738,-15.99102577,-2.259140813,2.201808333,0.592870238,17.29890223,8.06379298,22.84821875,-13.76977925,-5.646921736,-3.642263035,-10.76197696,-5.312540539,-0.606233761,9.827436662,-8.485904946,-0.177400733,-3.059267248,-8.613469202,-20.58388178,7.764152687,-3.112464256,-11.83134539,-7.275401589,-4.840824208,-6.215261204,-0.958528236,-8.027759282,-3.649862608,4.715095574,-22.02562928,-4.524899116,-1.125718835,-0.859733792,-2.37042027,-1.337964042,7.303292889,-13.75783706,3.387884494,5.199296918,-8.332285014,-9.297430741,1.509161569,-5.872737608,0.536416269,-12.92676951,-13.81700516,19.12985641
2,15-Jan-89,1,1989,3.621842766,-24.51991759,5.425655617,0.952764285,3.292889835,-11.14249842,-2.057752138,1.971649847,-0.457499268,15.03097262,2.320144536,23.1082327,-8.66178077,-2.784054153,-2.519154763,-5.325568378,-3.010955679,-1.564865568,6.248037944,-4.536841302,-0.73325519,-2.273254305,-5.716946369,-13.39577171,2.588843712,-2.626634433,-5.725631595,-2.001840996,-1.993698597,-3.695460044,-1.781996216,-4.385935502,-3.170546705,1.366398168,-10.45419426,-2.895333609,-0.662144903,2.208322253,-1.930187882,-1.66094588,2.604585684,-3.544554244,0.539673229,5.830604275,-9.371255161,-6.330883273,-1.59037842,-1.61914823,-0.894474695,-7.937650064,-10.31197369,17.77170422
3,22-Jan-89,1,1989,4.597302198,-26.40678291,9.366034036,5.452796949,5.657442583,-9.910281993,-2.917046674,1.884254762,0.171636782,12.71310296,3.553446612,23.06046395,-13.57653297,-1.050808761,0.510903418,-2.284110837,-1.416673902,1.668752594,9.546795302,-9.698579612,-0.597005709,-3.603722345,-2.77156914,-9.822886907,5.959797009,0.973391697,-10.83688703,-2.969158029,-1.133861234,-6.102353268,-2.307995208,0.428393773,-4.263799513,2.01779011,-11.63267085,-0.660516423,3.924197192,-2.164688981,-3.008241546,-2.198887058,2.34022912,-5.551384251,2.820087851,8.719527537,-9.209492829,-9.807144936,-1.461185685,-5.268571583,1.164466667,-5.136664714,-9.415766944,18.62231353
4,29-Jan-89,1,1989,9.739498749,-24.06502888,7.80866447,2.609471123,7.237610868,-7.621724972,-0.482469292,2.981307357,2.512305159,16.17145135,9.255840233,20.99989411,-10.91505406,-2.732485624,0.804029792,-9.670352626,-7.57232775,4.425226161,12.56328282,-4.895649696,2.352171306,-1.092063584,-3.186288676,-18.02011167,9.422488004,-3.149919293,-21.42309173,-11.14086994,1.103127259,-2.748770423,0.851255708,-0.406473566,-0.570950031,7.111675092,-22.78830068,-0.734340843,-1.958414867,-5.023213951,1.119412057,0.20094942,9.747098323,-14.67521404,6.140015446,6.436398779,-6.261401467,-5.492758977,3.672868468,-11.9008272,3.512734616,-8.07932781,-15.92968636,17.74022027
5,5-Feb-89,2,1989,-1.001411539,-8.504361053,9.503911997,-6.367252657,2.132326526,-17.37360516,-6.283114532,-2.262940599,-3.881649574,14.14399393,0.924537301,23.25533871,-15.54753642,-13.47556722,-11.71680898,-16.228241,-14.21706838,-7.551157511,0.1944355,-11.75860663,-4.520013676,-7.208091089,-11.93448245,-20.69624689,-3.569524269,-12.671641,-18.14604744,-15.5573073,-5.827682999,-10.02318993,-4.694261021,-2.582122651,-8.166722897,-0.429272284,-18.84303682,-10.9036547,-6.975761295,-6.595782663,-7.661894142,-5.101380984,2.946566453,-15.48891114,-5.77611447,-2.51806911,-14.23009622,-11.51216334,-4.469530801,-10.74569216,-7.006702414,-16.56750763,-20.94540431,18.03823208
6,12-Feb-89,2,1989,9.893661509,-9.668724148,8.241840111,4.405684402,6.249666423,-13.87128782,-2.921389287,1.483648718,0.844741789,13.22498846,7.124702931,23.22819738,-12.60813028,-8.091269996,-4.599266363,-10.0204758,-3.985329458,0.288344505,12.96226038,-8.879997072,0.184121794,-4.06512497,-8.579813952,-14.83209094,11.05096786,-2.924646247,-13.736124,-7.657008701,-1.389532571,-6.66852143,-0.654002504,0.700892735,-3.852336937,4.519135165,-18.71981517,-4.832138982,0.651495513,-1.299423352,-2.022468408,-2.0284395,5.520107448,-12.48056603,5.457682388,11.55742509,-6.001387517,-9.979220972,0.307343437,-8.487533427,-0.995983273,-11.96216661,-12.78563459,18.22333596
7,19-Feb-89,2,1989,2.079672344,-8.813229399,11.90700544,-1.121376222,10.31380931,-9.041216576,-1.749969445,0.158608943,0.031587515,10.78172586,-0.618718774,21.90044347,-7.468647866,-8.027759281,-5.279428115,-12.59944506,-4.087380863,-2.81662375,5.534763767,-7.218404795,-0.271309738,-1.73802726,-9.367455375,-17.81600886,2.772861936,-5.277799635,-5.208860655,-9.576443622,5.375172742,-4.505900184,-0.443385776,1.79143141,-2.987614134,0.02127381,-17.27969616,-5.620866057,-0.759853694,1.683408913,-2.642919231,-1.226141759,1.132982723,-12.94305431,-0.541094568,5.129272284,-0.644774451,-8.984762609,-2.341107633,-3.762227718,-2.418731838,-13.55481991,-4.175318774,18.81338849
8,26-Feb-89,2,1989,8.343891516,-15.10947534,12.76087171,3.288004395,8.069764074,-10.11764176,-3.097807938,0.853427014,-1.134404061,13.37806557,6.237181411,21.45912543,-10.83960116,-5.953618775,-2.937674085,-9.709978971,-2.083264989,-0.183914653,10.62864875,-9.674152414,-1.571922315,-4.227972956,-7.215147834,-14.89505882,7.855347559,-2.690687974,-15.89277415,-7.670579367,3.951338523,-6.901936876,-1.36239124,3.79934707,-3.934846583,0.848541575,-20.64304988,-3.22265806,2.499277319,-3.416989989,-2.711858212,-2.495270392,5.129815111,-13.46959613,2.005305098,8.722241667,-2.387790721,-9.781632086,-1.722285288,-9.193208031,-2.231456656,-10.89116969,-9.176923231,18.43395269
9,5-Mar-89,3,1989,5.479938278,-17.42463086,14.33832586,-1.908474818,13.06159765,-5.974789013,-5.610552351,-0.897188828,-2.366077657,12.54754084,4.601101984,21.70991133,-1.709800275,-4.320796308,-5.354338189,-10.5405037,-4.276827351,-0.262081685,1.375083394,-12.65589903,-2.860049879,-5.611095179,-8.640610535,-12.80191939,2.783175642,-4.318625001,-1.278795941,-5.640950642,9.034366974,-9.330543164,-3.190088463,4.875229426,-6.814541791,1.876112363,-11.5724171,-4.716516912,-4.257285594,3.146869475,-5.680576986,-5.160549086,4.641813981,-8.143924178,3.126242064,0.858312454,2.001505311,-13.49836594,-2.583208304,-2.47627146,0.580928052,-12.54190544,-1.538809891,18.61254264
10,12-Mar-89,3,1989,11.16224732,-7.584812761,16.38532503,8.438886174,9.322065081,-6.043727993,0.096183882,2.386369383,2.434680952,13.9925453,11.86737909,22.44978401,-7.417622162,-0.557379366,0.953307112,-3.181403237,0.89576749,5.223724115,11.76044225,-3.286711601,1.983049206,-0.277823657,-2.980557388,-8.040787121,11.15301926,2.114413248,-4.819111143,-2.110406319,6.377230678,-1.097491851,1.078157234,7.591533823,-0.715341912,8.025795117,-11.95239573,1.464649786,6.06890516,1.392453846,-0.496582784,0.494075793,10.31435214,-6.409050307,8.618018958,12.84066722,1.030388492,-4.157948322,4.557133028,-2.421445972,5.425655617,-5.049269629,-1.309194231,17.96820745
11,19-Mar-89,3,1989,9.240098261,-4.777313494,13.81449817,2.967736691,11.90266282,-6.96707607,-0.769624573,1.672552381,1.017360653,16.46457772,7.543222254,22.72879689,-5.629551283,-1.324936203,-0.743026069,-3.514155954,-0.849420086,0.960906685,11.59650861,-4.290940844,0.739433425,-0.892303389,-4.737144324,-8.586327872,7.682728695,-0.029751893,-3.478329397,-1.247311997,6.850575489,-2.895333609,0.86048376,4.440425306,-2.681459922,4.502850367,-8.717149085,-1.622948016,2.768519323,1.854942124,-0.651831197,0.26663144,7.146958823,-2.871449238,3.814546215,9.47622784,3.574074023,-5.472131564,0.93919362,-3.32688077,1.228520207,-6.201147712,-0.661602077,17.74999115
12,26-Mar-89,3,1989,12.48891557,-9.43096609,15.03911502,12.10513715,10.65307595,-5.682748291,4.983794751,5.519564622,9.659703238,17.26253285,12.72233102,23.0268087,-5.301684006,6.120473688,8.44919988,4.746036691,9.708014806,10.20470116,14.24767381,-0.136688737,9.256925887,3.891084768,3.475279579,0.509817765,13.1196801,10.2931819,-1.112148169,8.065421461,7.974769415,2.458565323,6.936342095,6.092246704,5.281806564,13.060512,-0.426558151,7.488396766,11.83318101,1.027131532,8.457342278,4.436625519,12.81406872,4.459424237,10.80995284,13.56045532,3.264662851,1.409824298,11.33160922,-3.497328328,10.35777827,2.615985043,0.355112179,17.50409069
13,2-Apr-89,4,1989,8.56482195,-5.316340325,20.63728593,7.959027443,15.27687308,-5.148064074,5.737780923,5.307319415,6.688813157,15.10371139,8.591420453,22.15068654,-4.743658243,4.084873871,5.007679122,2.257719475,6.119930862,6.081932998,12.00308575,2.208865079,6.311005831,5.532049635,3.020390873,-0.046036692,9.411631473,4.947968193,-1.603406258,4.167926344,12.13716392,4.668412485,6.136758486,7.700099146,5.184640598,7.752210501,-0.505810837,4.390485256,9.123933364,5.035363279,5.231866515,5.177041026,8.584906533,2.320144536,7.673500642,13.13705055,5.629215599,2.42708138,6.455397711,-1.778739256,6.368002626,0.840399176,-0.364675916,19.09457268
14,9-Apr-89,4,1989,6.139472619,-2.256969506,20.7100247,4.38994243,17.86181344,-7.997903817,1.556930311,4.68361163,2.669724878,16.61656917,7.254438493,22.02095098,-3.300282266,1.656810409,0.90390989,0.960906685,2.184437881,1.994991392,8.398174177,-0.809793743,2.586672405,2.180638095,-1.645203908,-0.648574237,5.951654611,1.029302839,-1.736941606,0.141238492,12.89874967,0.90553837,1.859827564,6.819634372,0.407223534,5.810519689,-0.795137424,0.670494444,4.172268956,7.952513523,1.68069478,2.233292277,7.05739243,0.795344566,3.052960471,7.90963022,3.372685348,-0.718056045,2.963394078,3.282033303,2.115498901,-0.794594598,-2.128319598,18.6461979
15,16-Apr-89,4,1989,12.42486203,-0.380960715,21.92324219,11.42334692,16.11879717,1.383225794,4.991394323,7.849376466,7.47808306,18.85572897,12.49271536,21.47215327,1.141667949,7.335862486,7.162700794,6.188327015,9.14564643,8.435629214,11.78975489,1.796859676,7.257152626,4.983251923,2.814659585,3.746150061,11.75772812,8.715184922,2.847229182,8.855234189,14.87843834,3.641927351,5.997252045,14.0924254,4.838860043,10.82895177,3.620757113,6.909200764,11.63776343,6.098217797,5.80237729,5.118415751,12.42649051,6.914086204,9.260182847,14.52994365,10.00331249,1.808801862,7.891174116,1.182379945,8.150645239,3.956766789,6.825605465,18.44752335
16,23-Apr-89,4,1989,16.51071798,0.986419536,15.29532918,17.51006179,10.83275156,-1.977413798,2.347285867,9.043595025,7.322834646,16.99003388,17.59637122,22.60123263,-5.789685136,11.54928269,13.43886215,12.7239595,15.35721142,15.53091594,15.30075745,-0.025952107,6.736581899,2.221350091,4.718352535,8.571878693,16.58888501,15.95540635,-0.423301191,14.73241798,6.375602199,1.38865406,3.509477656,8.624532877,1.337628358,16.0400873,6.303949085,7.3157779,16.10794063,3.990964866,3.749949848,2.792403694,16.97266343,10.67533184,16.99003389,16.74087647,4.24229359,-0.39615986,8.464399025,1.916281532,8.606076773,5.574390111,3.062731349,19.00772042
17,30-Apr-89,4,1989,15.49563221,1.960250488,20.69971099,10.84415092,16.7354482,-2.890990996,8.208727688,10.90277619,11.21164454,19.81653209,14.08862561,20.74747973,-0.838563554,6.962397772,7.406429946,5.801291637,6.147072193,9.31880812,16.57911414,6.008651405,10.20850095,7.10407552,4.152727198,3.23915,13.89212238,7.045450244,2.621413309,6.335975856,14.67270705,6.375602199,8.872061816,10.56568086,7.970969629,14.80787088,2.248491423,7.663729763,9.045766331,8.724955802,8.687500764,7.637674085,15.24647479,3.862857784,11.73818636,18.43232421,8.012767279,5.781749879,11.89669173,4.495250794,9.48437024,4.369315019,2.522618864,19.56791749
18,7-May-89,5,1989,11.53625485,1.0835855,19.59831579,10.67098923,17.15125339,1.922252625,6.955883853,10.27635428,7.846662333,13.96648963,8.927430129,22.81890611,1.993905739,5.496223077,5.429455403,6.88423074,8.698900124,6.567762821,14.21781835,6.707812088,7.813007083,7.359204031,2.832030037,6.028193163,11.84946581,7.7684953,5.304605282,9.205900184,13.60768123,6.875002688,7.383631228,12.72233102,6.343032602,7.221326069,8.809636753,5.573847284,11.16550427,5.756779854,6.344661081,7.69141392,8.545823017,9.087021156,7.605104488,17.6224269,10.45494423,6.514022986,6.796292828,2.376598504,5.833861234,3.739093315,7.348890324,19.05223221
