weeknum,dateweek,month,year,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52
0,1-Jan-89,1,1989,12.25170034,-10.97422216,10.62104918,7.524766149,7.363546644,-6.99910284,-4.279541485,1.413624084,0.329056501,18.9501808,9.576107937,23.84213428,-9.49013419,-4.352823078,-2.055580831,-5.467788951,3.050246337,3.468222833,16.79678761,-11.25812048,-0.480297986,-4.785455893,-5.801627321,-10.80377461,13.29772723,1.108012698,-6.877509678,-1.112148169,0.717177533,-7.964791394,-1.628376283,2.093785836,-5.365737548,5.640072131,-13.34963144,-3.002270453,8.711385136,1.34522793,-3.491357235,-3.238942858,8.547451496,-7.780230344,7.101904213,16.68550815,-4.195403359,-11.96705205,2.083472131,-2.764512394,2.917796642,-8.445735777,-7.377995821,21.42764149
1,8-Jan-89,1,1989,11.80712534,-9.593271247,6.661671826,4.110929549,6.942313188,-12.51856389,-0.371189836,3.499706777,3.474193926,22.05569188,10.17376004,23.56529271,-10.54484631,-3.118435349,-0.848334433,-7.689578299,-1.165888004,2.835286996,12.88897879,-4.877193591,2.38365525,-0.857562485,-5.390164745,-15.514424,10.91960382,0.315485836,-9.191036723,-4.334909799,-1.986099024,-3.582552107,1.532503113,-4.532498689,-1.451414805,7.963370057,-18.40497574,-1.419930861,2.830401557,1.086299634,-0.324506747,0.561386294,9.93545916,-10.97802195,6.705640782,8.710299483,-6.069240844,-6.426420759,5.178126679,-3.006613066,4.000735746,-9.537360107,-10.55461719,21.18174103
2,15-Jan-89,1,1989,7.69141392,-22.80078569,11.74252897,5.146099909,9.487084373,-7.841026925,0.775259981,3.431310623,3.627813859,19.86864344,6.903772498,23.38073166,-6.352596339,-0.445557082,0.305714957,-2.305281075,2.368456105,1.805002076,9.800838158,-1.47638483,2.979678877,0.587984798,-3.10377903,-8.749718683,6.957512333,1.606327534,-3.55486795,1.268146551,0.485933394,-1.098577504,1.951022436,-0.256110593,-0.32233544,5.910399787,-6.297770851,-0.348391118,3.457909127,4.39808483,0.789373473,1.521646581,7.605104487,-0.612204854,4.438253999,10.05325254,-5.81465516,-3.932675276,3.571902717,0.370854151,2.091071703,-5.093781412,-6.812913311,20.56508999
3,22-Jan-89,1,1989,9.868148658,-22.67322143,13.52300028,8.467113158,11.34246575,-6.7086906,-0.370104183,3.112671398,3.969251801,17.73859179,8.468198811,23.38615993,-9.859799119,1.904339347,3.596872741,0.110840201,3.252177839,5.566790538,14.33289759,-5.845596278,3.0963866,-1.03018135,-0.816307662,-6.67177839,11.04391111,4.972938218,-8.421851405,-0.05906453,1.714892857,-3.096179458,1.559644444,4.115814988,-1.312994018,7.499796123,-8.470705802,2.379855464,7.488939592,0.849627228,0.694921642,0.117896947,8.136531747,-3.011498505,7.271266118,12.52582778,-6.082268683,-6.10832436,4.418712241,-2.852993133,5.31600464,-2.92084646,-5.841253665,21.3994145
4,29-Jan-89,1,1989,14.4615475,-21.79981341,12.93240492,7.096475948,12.08396691,-4.882621858,2.822259158,4.695553816,7.454198689,21.65128605,14.23301749,22.36293175,-8.756232603,0.255232081,3.729322436,-6.65440794,-2.911618406,7.441170849,16.31312909,-2.557695453,6.586761753,1.985220513,-1.194657815,-14.75555239,13.54254204,0.576042612,-17.65153239,-7.498503329,4.071303206,-0.187714439,4.336202595,3.865571917,2.763091056,12.89115009,-19.23332916,2.289203419,1.861998871,-2.249912761,4.795976741,3.042646764,15.02934414,-11.97899423,10.29209625,11.32672378,-3.227000673,-3.244371125,9.07019353,-9.193750855,7.321748993,-5.974789013,-12.45396753,20.5102645
5,5-Feb-89,2,1989,2.503077106,-6.910622102,12.83958157,-3.091836845,6.106360197,-13.58684668,-4.523813463,-0.701771246,-1.226684586,19.52449137,4.744408211,23.56746402,-12.69226841,-10.5671022,-9.068357908,-12.49467952,-10.63821249,-4.706746033,3.109957265,-8.734519539,-1.827050825,-5.113865997,-9.433680223,-16.31943587,-0.242539927,-9.009189807,-14.73003953,-11.76512055,-2.971872162,-7.559842737,-2.424160105,0.778516941,-5.97207488,3.692953052,-15.77443795,-8.439221858,-4.058611051,-3.574409708,-5.154035166,-3.215601314,7.447684768,-12.58478874,-2.433930984,0.507103633,-10.6588399,-9.496648109,-0.907502534,-7.649951956,-4.630750307,-13.15204255,-17.4865131,20.85767354
6,12-Feb-89,2,1989,14.67379271,-7.245003299,14.24441685,7.149130128,11.28329765,-9.586214502,-0.707199512,3.171296673,4.002364225,19.47672262,11.61387906,23.56149292,-9.57372949,-4.909220362,-1.797195361,-6.949162792,-1.13766102,3.296146795,17.09045681,-5.986188371,3.247835226,-1.487784189,-5.870023476,-11.69618157,14.08591148,0.054386233,-10.83145876,-5.179548017,1.447279334,-4.059153878,2.081843651,4.915941423,-1.519268132,8.565364775,-16.4545997,-2.347621552,3.020390873,1.003247161,0.415365934,0.210720299,10.75621301,-9.47764918,8.175615264,14.57228413,-3.560839043,-7.09084054,4.652127687,-5.442818927,1.889140201,-8.745376071,-9.434223048,20.53740584
7,19-Feb-89,2,1989,5.937541118,-5.944390722,18.48769253,2.194751587,15.6850787,-5.385822132,0.60861221,1.939623077,2.898797711,15.75944594,3.150126435,22.76788041,-3.988043591,-5.456389593,-3.128206228,-9.457564593,-0.24362558,-0.001524909,8.831892644,-4.715974085,2.620327656,0.378453724,-6.777086753,-13.65470001,6.143272406,-1.84713541,-2.410046613,-7.094640325,9.148903389,-2.565837852,2.505248413,7.318492034,-0.367932876,3.241321307,-13.82623321,-3.191716943,3.23589304,4.076731471,0.34696978,1.012475213,4.452910318,-9.752862272,1.923881105,9.787267493,1.86688431,-6.77925806,0.773631502,-1.488869842,0.635753541,-10.03784625,-1.47964179,21.56877641
8,26-Feb-89,2,1989,11.47708676,-11.7662062,18.93226753,6.984653664,14.08374017,-6.474732327,-1.409617156,1.765918559,1.658981715,18.88612726,8.981169964,22.79990718,-8.08747021,-3.931589623,-0.301708029,-7.513702474,1.198664743,3.401455159,15.27687308,-6.988789135,1.299087668,-2.337850672,-5.393964531,-12.56633263,11.29795397,1.085756807,-12.61735834,-5.682748292,8.233154884,-4.805540478,1.067843528,8.850891576,-1.963843133,4.706410348,-17.8290367,-1.013353725,6.743638646,0.370854151,-0.016181228,-0.549236967,8.324892584,-11.37428538,5.832232754,14.73241798,0.532616483,-7.947963769,2.180095268,-5.85156737,1.370197955,-8.869140539,-5.681662639,21.30279137
9,5-Mar-89,3,1989,10.22370009,-13.86314543,20.86690159,2.246320117,17.55294509,-1.669088279,-2.581036997,0.661809218,0.335570421,16.62091178,9.652103665,22.34664695,0.368140018,-0.924872986,-1.782539042,-6.286371491,1.930937851,3.530647894,7.425428878,-8.360511999,0.033758821,-2.983271521,-5.200175429,-8.196035533,7.550279001,-0.048207998,1.141667949,-0.962870849,13.08385354,-5.899878939,-0.5519511,11.21544432,-3.194431076,5.498394385,-8.698150154,-1.283138554,0.541844536,5.103216606,-2.358478084,-2.128319598,8.44105748,-4.493957999,7.212098017,6.049363402,5.970110714,-9.799545363,0.90065293,-0.355447864,4.227637272,-7.934393103,2.084014957,21.36141664
10,12-Mar-89,3,1989,17.79070315,-4.694803848,22.96112668,13.98006029,15.05811395,-2.778625886,4.056646887,4.229808578,8.104504977,20.21930943,17.66259607,22.93887079,-4.612294202,3.863400611,6.44454118,-0.046036691,8.16964417,9.902346735,18.82695916,-0.549236966,7.222954549,3.334687485,0.366511538,-5.622494538,17.47206392,8.899203145,-2.200515538,1.876112363,11.06182439,1.895111294,5.814862302,13.91220696,3.742893102,13.19404735,-9.012446766,6.063476894,13.0198,3.01767674,4.497964928,3.844401679,16.18556484,-2.955044538,13.3378964,19.23516478,5.928855891,-1.792309922,10.042396,-0.225712302,10.1829881,-2.791653725,2.397768742,21.09543159
11,19-Mar-89,3,1989,13.7314457,-3.338822956,21.07426136,8.455170972,17.23647717,-3.077723353,1.687751526,3.115385531,4.592959585,22.16045742,11.46297326,23.39810211,-3.196059556,2.90856859,3.149583608,1.992277259,6.061848413,5.489709158,16.22790531,-1.992612943,4.371486325,1.446193681,-0.902617094,-4.769171094,12.64199268,5.640072131,-1.055151374,4.271063401,11.45591652,-0.371189836,3.802061203,10.51682647,0.458249237,7.908544568,-5.320682939,1.670381075,8.865005069,4.750379305,2.358685226,2.695237729,10.7703265,1.124840323,8.523024299,15.43646411,7.770123779,-3.370849726,4.828546337,-0.437414683,4.413826801,-1.961129,3.353686417,21.50852265
12,26-Mar-89,3,1989,17.45306499,-6.84982552,20.64651399,16.12531108,16.05908624,-1.669631106,8.905174237,9.3958895,14.95606255,22.52577973,16.99926194,23.6141471,-3.145033853,11.61116493,12.49488666,11.11773553,15.58682708,13.86280974,19.36490034,2.918339469,14.26233013,7.335862486,8.273866881,4.641271154,18.19130919,14.89906575,1.303973107,13.86335257,12.35266609,5.860459737,11.29578266,11.90320565,9.240098261,17.48889155,2.220264438,11.40977625,16.50800385,3.089329854,12.70930318,7.73809701,18.13594088,9.533224636,15.11511075,19.15536926,7.420543438,4.47028077,16.69962165,-1.430244567,14.51365885,7.347261845,4.856773322,20.98198083
13,2-Apr-89,4,1989,14.08374017,-3.032668743,27.24348587,13.16473471,22.05026362,-2.088150428,8.864462242,7.074220056,10.75838431,20.58137479,12.12033629,22.72174014,-1.718485501,8.541480405,8.467655985,7.802693377,11.78215531,9.498483731,18.4545801,5.13307207,10.42291746,9.167902321,6.109074329,4.945796887,15.26438807,9.539738555,0.920737515,9.14727491,17.59691404,7.418372132,9.81495165,14.95660537,8.151730893,11.50802787,2.625755922,7.908001741,14.64665138,7.474283272,9.36549121,8.658730953,12.88789314,6.357146093,11.21110171,20.36641545,10.16290351,4.809004579,10.89897641,0.37736807,10.09070757,5.787178145,4.370943499,22.13277326
14,9-Apr-89,4,1989,10.48534252,-0.54218022,27.56646771,8.400888309,25.49992678,-3.497871155,4.996822589,6.047734921,7.295150489,22.02963621,10.50922689,22.58711914,0.741061905,5.263350458,4.934940355,5.194954305,8.432915079,5.850146032,12.94814689,2.72237906,6.941770361,5.342060318,1.878283669,2.731607112,10.30729539,6.993338889,2.399397222,6.105274544,18.59137241,4.000735745,5.965225276,13.88072302,3.861772131,9.539738554,2.752777351,4.315575184,8.859033975,12.28209863,5.300805495,5.616730587,10.84035113,5.369201649,7.294607662,12.22835879,8.902460105,2.306031044,7.972598108,7.288636569,5.977167462,2.443366178,3.574074024,21.42601301
15,16-Apr-89,4,1989,18.07405864,1.419595177,29.38113709,16.9373797,23.65865889,6.296892339,9.316636815,10.26169796,12.94760406,22.8677605,17.45632195,21.87058801,4.50719298,12.46611685,11.62039298,12.34126673,16.65076725,13.09036746,19.12822793,5.111901832,12.50520037,8.67067314,7.727240477,9.700958062,17.66313889,15.34581206,7.915058488,15.80667186,20.78602043,7.229468468,10.72581471,20.37401502,8.37049002,15.67150803,9.386118621,11.01948391,18.51754799,9.407288861,10.82243785,9.282981563,17.50951896,13.3786084,14.5266867,22.35316087,16.77941716,5.088017461,13.87203779,5.385486447,12.96117473,9.111448354,13.59356774,22.20768334
16,23-Apr-89,4,1989,22.17239961,2.948194933,22.24513837,22.51003776,17.23484869,3.104528999,7.200155832,11.49825699,13.12890815,23.93604329,22.18108483,22.90412989,-1.886218927,17.53611746,18.21627922,18.61688526,22.63814485,20.05700428,21.87710193,3.816174695,12.51008581,6.819634372,9.357348812,12.05356862,22.19085571,22.73042537,2.969907998,22.08554735,11.24475696,5.184640599,9.088649635,15.4098656,6.484710349,21.0954316,10.6112783,12.60345199,22.53989323,7.804321858,10.05759515,7.62736038,22.65334399,15.34092662,21.51829353,24.72042775,9.670016942,2.843972222,14.83284091,5.493508944,15.05268569,10.56730934,8.506196675,23.1266888
