weeknum,dateweek,month,year,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52
0,1-Jan-89,1,1989,18.69342381,-8.118954154,15.768674,13.29772723,12.38306438,-2.674403176,-1.260339836,3.470936966,3.336858792,25.1802019,15.85498343,24.07609256,-5.861338249,-0.756053908,1.167723626,-1.406360196,10.04999558,8.976284525,23.67060107,-6.451390783,2.364113492,-1.572465141,-2.595693316,-6.442162731,19.54186182,7.441713677,-3.564096002,4.088673657,4.25043599,-4.163376589,1.46247848,7.428685838,-1.656603267,10.97388648,-8.402852474,0.63738202,15.19273495,3.760263553,-0.479212333,-0.09760522,14.58205501,-3.710116363,12.85098093,24.16023068,-1.481270269,-7.649951956,6.491767095,-0.682772314,8.295579945,-4.06838193,-3.383334739,25.7186859
1,8-Jan-89,1,1989,16.87441182,-6.723346919,13.02034283,9.105477261,12.24627207,-7.357911235,2.078586691,5.257922192,8.080077779,26.93570318,13.5398279,23.94310004,-6.497531046,1.211149756,3.540418773,-1.763540111,5.948940477,7.264209372,18.69342381,-0.356533517,6.110159983,1.83160058,-1.637604336,-8.045672559,16.46457772,6.275179274,-5.215917401,0.690036202,1.790345757,0.050586446,4.689039897,2.017247283,1.681237607,12.42866182,-13.33877491,2.961765599,9.259640021,4.139156533,2.798917613,2.790775214,14.08211169,-6.666350124,11.66490476,14.09839649,-2.411132266,-2.204858151,10.22532857,-0.228426435,9.488170026,-4.331110013,-5.866223689,24.42133028
2,15-Jan-89,1,1989,12.75110083,-20.00685709,18.46163685,11.37177839,16.09871258,-2.329708274,4.989765843,6.237181411,9.503911997,25.35716338,12.94923254,23.6467167,-2.464329274,3.509477656,4.748750825,2.621956136,10.81809524,6.560163249,14.1412798,1.631297558,8.222298352,4.719438187,-0.626861173,-2.475728633,12.29404081,8.835692431,-0.367390049,7.968798323,4.548447803,2.102471062,7.164329274,6.308834525,3.737464836,12.20121746,-1.017696338,3.076302015,10.57762305,7.42651453,4.95176798,5.995623566,14.10708172,3.764606166,9.764468775,16.078628,-1.795024055,-0.529152382,10.73667125,2.522618865,6.594904153,-1.437301313,-1.312451191,25.08357876
3,22-Jan-89,1,1989,17.34287119,-18.00111273,18.80416044,13.69181935,18.05994515,-1.980127931,3.511106136,5.108644872,9.543538342,23.19779909,15.25407436,23.6955711,-4.203002932,6.820720025,9.271039379,4.131014133,10.19438745,12.07691017,21.34350336,-0.585063523,8.408487882,3.082815934,2.354342613,-1.836278878,18.94149558,11.73275809,-4.319167828,4.38831395,5.628672772,1.280631563,6.708897742,9.112534005,3.401997985,14.69984839,-4.502643225,7.50848135,13.5398279,6.432056167,5.473967186,3.618585806,15.81644274,0.6471529,13.8904939,17.68322348,-2.286282144,-1.026381564,11.70181697,0.630868101,11.5861949,0.297572557,-0.712627778,25.85167842
4,29-Jan-89,1,1989,21.00532238,-17.81058059,18.84215831,14.22921771,17.85747082,-0.621432907,7.206126924,8.074106686,14.24061707,27.5887236,20.41201289,23.39158819,-5.918877871,5.340974665,8.092019965,-0.722398658,3.555075092,11.56665315,21.73759549,0.798058699,12.78095629,6.527593652,2.05470232,-9.505333336,19.48215089,6.965111906,-12.47948037,-1.105634251,8.129475001,3.795004457,9.047394812,9.307408762,7.420543439,20.7203384,-14.54059304,6.77023715,7.768495301,1.896196947,10.26169796,7.038393499,21.36684491,-5.78425687,15.50051765,19.12985641,0.210177472,-0.47324124,16.58508523,-4.833224636,12.09808041,-2.729228664,-6.430763372,24.97121365
5,5-Feb-89,2,1989,7.465598048,-3.724229854,17.50951896,2.255005341,10.77141215,-7.32479881,-1.681573291,1.75126224,2.889569658,25.02549631,9.618991239,23.75528203,-7.486561144,-6.867195972,-5.319054458,-7.196148903,-4.760485869,-0.318535654,7.346176192,-4.785998719,2.150239804,-1.761911631,-6.655493591,-9.526503574,4.557133029,-4.059696704,-8.688922103,-5.713146583,1.414166911,-3.815424727,0.628153968,6.042306655,-2.549010227,9.762840294,-11.00787741,-5.127979489,1.395167979,1.853856471,-1.578436234,-0.445557082,13.62288038,-6.803685259,2.414596367,6.181813096,-5.754401405,-6.112666974,4.460509891,-2.180430953,-0.934101038,-8.85448422,-10.91233993,25.37833361
6,12-Feb-89,2,1989,21.63228712,-2.146775703,20.87178703,10.58522262,16.87441182,-4.152520056,1.795231197,6.055334493,8.635389409,26.34727913,18.80796023,23.94364286,-5.561697956,-1.362934067,1.448364988,-3.046782235,2.946566453,7.096475946,23.28302287,-2.902933182,7.453655861,1.397339286,-2.227656869,-8.249775369,18.91978251,4.526734738,-6.654407938,-2.324822834,5.872401924,-1.156659952,5.573847283,10.12219152,1.036902411,14.30792757,-12.54136261,0.877854212,6.322948017,4.571789347,3.35965751,2.713693834,19.17491102,-5.547041637,12.72775928,19.4436102,-0.365218743,-4.043411905,10.92177512,-1.32547903,5.974453328,-5.034070484,-4.411448353,24.05112253
7,19-Feb-89,2,1989,12.440604,-1.369447986,25.63237647,7.287550916,22.30322082,-0.804365477,4.407855708,3.827574054,7.386888188,21.25882241,9.065850918,23.41384408,-0.131260471,-2.111491973,0.369225671,-4.535755648,6.987367798,4.329688675,14.33126911,-1.25002613,7.06553483,4.28083428,-3.286168774,-7.25911679,12.15290589,4.260749695,0.510360592,-2.928988859,14.37089545,0.894139011,6.859260716,13.98711704,3.694038707,8.108304764,-8.567871767,0.692750336,10.04076752,7.264209373,4.771006716,4.573417827,8.773267371,-5.196918469,6.584047619,17.1474536,6.103646063,-3.534240538,5.181926466,0.566271733,5.006050641,-5.303312486,3.040475458,25.60089253
8,26-Feb-89,2,1989,16.41898028,-6.995845881,25.30233789,12.48511578,21.2626222,-1.826507999,1.266518071,2.740292338,5.276921124,25.82128013,14.08156887,23.62934625,-3.729658121,-0.989469354,3.606100794,-4.81639701,9.107648568,9.195586479,22.24025293,-3.709030709,4.863830068,0.185750274,-2.547924574,-8.581442432,16.43689356,6.218182478,-7.503931595,-2.55009588,13.57728294,-2.046895605,4.236322498,14.76444475,0.72097732,10.44680183,-14.30392064,2.800003266,13.89917913,5.350202717,2.859714194,2.251748382,13.47360305,-7.964791395,11.17961777,22.26685144,5.264436112,-4.972188249,7.8439482,-1.427530434,6.943398841,-6.41664988,0.019102503,25.75071267
9,5-Mar-89,3,1989,16.77724585,-7.79054405,28.86436615,9.835036236,23.90510217,4.306347131,1.948851129,2.845600702,4.84428831,21.66159976,15.98960443,22.86776051,3.011162821,4.657013126,4.788919995,0.166208516,11.61007927,8.984969751,15.51083135,-3.054924635,4.638014195,0.792087606,0.139067185,-2.601121582,14.21618987,6.959683641,4.538134097,6.464082938,18.21356508,-1.040495056,3.76080638,18.62665614,2.467250549,12.47914469,-3.578209494,4.10441563,7.987254427,7.753838982,2.657782692,1.97924942,15.10968248,1.920081319,12.91340599,14.02185794,12.28426994,-4.423933366,6.522708212,1.352284676,9.718871338,-1.824879519,8.600648505,25.53846746
